序号,Volume,Area,max_temp_z,Length1,Length2,Length3,Pra,Prb,Pouter_radius,Pinner_radius,Parea,Pcircularity,Pcompactness,Pcontlength,Pconvexity,Prectangularity,Pphi,Panisometry,Pbulkiness,Pinner_width,Pinner_height,Pdist_mean,Pmax_diameter,Porientation,Prect2_len1,Prect2_len2,Pmoments_m11,Pmoments_m20,Pmoments_m02,Pmoments_ia,Pmoments_ib,Pmoments_m11_invar,Pmoments_m20_invar,Pmoments_m02_invar,Pmoments_phi1,Pmoments_phi2,Pmoments_m21,Pmoments_m12,Pmoments_m03,Pmoments_m30,Pmoments_m21_invar,Pmoments_m12_invar,Pmoments_m03_invar,Pmoments_m30_invar,Pmoments_i1,Pmoments_i2,Pmoments_i3,Pmoments_i4,Pmoments_psi1,Pmoments_psi2,Pmoments_psi3,Pmoments_psi4,质量,人工测量：长,人工测量：高,分档,宽1,宽2,宽3,人工测量：宽,边1,边2,边3,备注
4837,57.0299,94.2642,6.41391,9.07456,4.86744,2.82914,5.14447,2.94946,5.24342,3,48,0.626279,1,23.8995,1,0.755556,-1.32536,1.74421,0.993099,5,6,2.87921,9.48683,-1.32536,4.5,2.5,50.25,305,116.979,317.587,104.392,0.0218099,0.132378,0.0507722,0.183151,0.00856227,29.9583,-19.1563,-16.5773,76.5,0.000270891,-0.000173216,-0.000149896,0.000691732,33153.6,-7.68E+06,-504924,1.34E+11,0.00624548,-1.18E-10,-8.60E-07,4.30E-08,0.17,8.6,3,0,5,5,5,5,3.9,2.8,8.6,
4838,91.5017,124.045,7.41411,9.76138,4.94834,3.83384,5.30562,3.02192,5.23093,2.5,50,0.67958,1,24.9706,0.980392,0.770833,0.732676,1.75571,1.00739,5,4,3.09472,9.43398,0.732676,4.59619,2.47487,-118.2,220.5,245.52,351.87,114.15,-0.04728,0.0882,0.098208,0.186408,0.00904175,-16.8,-42.304,75.4944,52.8,-0.0001344,-0.000338432,0.000603955,0.0004224,40165.9,-2.00E+07,-904824,2.92E+11,0.00642655,-2.05E-10,-1.16E-06,5.98E-08,0.24,9.6,4.1,0,4.8,4.9,5.1,4.933333333,3.9,3.6,9.6,
4839,85.7866,121.389,6.55041,9.60406,5.61097,3.12827,5.17388,3.56979,5.24342,3.5,58,0.783278,1,25.8995,0.983051,0.781818,1.5451,1.44935,1.00042,6,7,3.23085,9.48683,-1.5965,4.5,3,-5.22414,388.017,184.914,388.152,184.78,-0.00155295,0.115344,0.0549684,0.170312,0.00365486,26.5279,-44.8288,-16.6052,88.352,0.000135963,-0.000229759,-8.51E-05,0.000452827,71722.4,-4.56E+07,-1.81E+06,1.04E+12,0.00633787,-1.06E-10,-8.22E-07,4.17E-08,0.22,9.6,3,0,5.7,5.7,5.7,5.7,4.2,4.1,9.1,
4840,43.8245,87.2449,5.72671,8.72864,5.06516,2.13455,4.75954,2.91674,5.10977,3,43,0.550554,1,22.7279,1,0.731707,-0.280597,1.6318,1.01425,5,5,2.719,9.21954,-0.280597,3.88909,2.82843,40.4651,103.116,231.86,243.523,91.4542,0.0218849,0.0557687,0.125398,0.181166,0.006764,2.84586,74.5928,67.5803,-33.8583,3.58E-05,0.000938191,0.000849992,-0.000425853,22271.2,-4.82E+07,-1.04E+06,1.86E+11,0.00651432,-2.23E-09,-3.83E-06,2.00E-07,0.11,9.1,2.3,0,5,5,4.9,4.966666667,4.7,2.3,9.3,
4841,53.4496,84.9403,7.17241,7.42542,4.51147,3.5351,4.26129,2.8234,4.30789,2.5,38,0.831531,1,20.4853,0.974359,0.805556,-0.311879,1.50928,0.994672,5,5,2.42089,7.61577,2.82971,3.5,2.5,28.2632,84.8421,163.395,172.507,75.73,0.0195728,0.0587549,0.113154,0.171909,0.00449167,-15.4377,-12.2881,22.3047,-2.32687,-0.00028134,-0.000223941,0.000406486,-4.24E-05,13063.9,-357170,-69465.1,7.31E+09,0.00626527,-5.69E-11,-6.07E-07,3.06E-08,0.16,6.5,3.4,0,4.8,4.6,4.7,4.7,4.75,4.75,7.4,
4842,39.1152,72.1024,7.84711,7.18017,4.44593,3.26709,3.57248,2.28206,3.66228,2,26,0.820686,1,16.4853,0.962963,0.791667,1.21385,1.56546,0.985085,4,4,1.91234,6.32456,-1.92774,2.82843,2.12132,-16.0769,76.9615,39.8462,82.957,33.8507,-0.0237824,0.113848,0.058944,0.172792,0.00527691,2.68639,-4.93491,1.2071,7.88166,0.000152844,-0.000280776,6.87E-05,0.000448433,2808.15,-3375.29,-3096,6.97E+07,0.00614508,-2.39E-11,-3.85E-07,1.90E-08,0.14,7.2,3.5,0,4.8,4.7,4.7,4.733333333,4.7,4.7,6.9,
4843,35.0465,65.9407,6.14951,7.40628,4.21718,2.60669,3.93465,2.50749,4.14005,2.5,31,0.611437,1,18.4853,1,0.689655,1.32824,1.56916,0.999848,5,4,2.12135,7.28011,1.32824,3.5,2,-16.6129,115.871,52.8387,119.981,48.7282,-0.0172871,0.120573,0.054983,0.175556,0.00549746,26.4048,4.91467,-12.9053,-33.565,0.000886334,0.000164972,-0.000433195,-0.00112668,5846.48,-1.17E+06,-82799,3.88E+09,0.00633065,-1.42E-09,-3.01E-06,1.53E-07,0.11,7.9,3.2,0,4.8,4.9,4.7,4.8,3.2,3.2,8.8,
4844,36.8209,73.4018,6.25681,7.48353,4.83579,2.63085,4.09338,2.74794,4.10555,2.5,35,0.776266,1,19.8995,0.972222,0.727273,-0.825172,1.48962,1.00965,5,4,2.32459,7.2111,2.31642,3.53553,2.47487,40.1429,109.543,103.143,146.613,66.0727,0.0327697,0.0894227,0.0841983,0.173621,0.0043227,-9.25306,-31.8245,-19.2245,27.6098,-0.000215815,-0.000742262,-0.000448385,0.00064396,9687.11,-2.54E+06,-157790,1.23E+10,0.00645539,-9.21E-10,-2.45E-06,1.27E-07,0.11,7.8,3.5,0,5.3,5.3,5.4,5.333333333,3.6,3.6,7.8,
4845,57.4495,90.6075,6.77061,6.801,6.0023,3.15939,3.69699,3.24526,3.87474,3,38,1,1,19.8995,0.974359,0.771429,0.94348,1.1392,0.991891,5,5,2.44526,6.7082,-2.19811,3.18198,2.82843,-14.1579,119.579,110.316,129.844,100.051,-0.00980464,0.0828109,0.076396,0.159207,0.000425675,-4.75623,3.24931,8.0277,-3.80609,-8.67E-05,5.92E-05,0.000146299,-6.94E-05,12991,-6593.38,-9901.84,1.06E+09,0.00623029,-1.05E-12,-8.65E-08,4.46E-09,0.14,6.8,3.5,0,5.9,5.9,5.9,5.9,4.75,4.75,6.9,
4847,37.927,72.8062,6.05641,7.83136,4.07681,2.4282,4.26341,2.5894,4.30789,2.5,35,0.720377,1,19.8995,0.972222,0.848485,-0.430776,1.64648,0.990918,5,4,2.32459,7.61577,-0.430776,3.80132,2.23607,38.0857,76.1714,141.543,159.046,58.6687,0.0310904,0.0621808,0.115545,0.177726,0.00671421,-5.1649,11.9176,20.4588,-10.3298,-0.000120464,0.00027796,0.000477173,-0.000240928,9331,-125967,-34363.3,2.57E+09,0.00621808,-4.57E-11,-5.34E-07,2.66E-08,0.14,8.3,3.2,0,4,3.9,4,3.966666667,4,3.2,8.3,
