,feature,importance_gain,importance_split,trn_score
0,NAME_CONTRACT_TYPE,4855.592481613159,137,0.7573115391219858
1,CODE_GENDER,24112.439760684967,534,0.7573115391219858
2,FLAG_OWN_CAR,2612.063307762146,72,0.7573115391219858
3,FLAG_OWN_REALTY,746.963698387146,36,0.7573115391219858
4,CNT_CHILDREN,1240.3614864349365,54,0.7573115391219858
5,AMT_INCOME_TOTAL,9102.223032951355,390,0.7573115391219858
6,AMT_CREDIT,32054.83863544464,940,0.7573115391219858
7,AMT_ANNUITY,30639.295201778412,975,0.7573115391219858
8,AMT_GOODS_PRICE,37745.1770734787,921,0.7573115391219858
9,NAME_TYPE_SUITE,0.0,0,0.7573115391219858
