,feature,importance_gain,importance_split,trn_score,run
13,NAME_HOUSING_TYPE,562.9500880241394,56,0.6639043005943865,4
14,REGION_POPULATION_RELATIVE,4173.820157915354,432,0.6639043005943865,4
15,DAYS_BIRTH,7365.228253990412,769,0.6639043005943865,4
16,DAYS_EMPLOYED,7018.325093507767,702,0.6639043005943865,4
17,DAYS_REGISTRATION,6428.675045162439,639,0.6639043005943865,4
18,DAYS_ID_PUBLISH,6104.183118313551,632,0.6639043005943865,4
19,OWN_CAR_AGE,2822.693065226078,288,0.6639043005943865,4
20,FLAG_MOBIL,0.0,0,0.6639043005943865,4
21,FLAG_EMP_PHONE,0.0,0,0.6639043005943865,4
22,FLAG_WORK_PHONE,225.57200026512146,22,0.6639043005943865,4
23,FLAG_CONT_MOBILE,566.1075868606567,46,0.6639043005943865,4
24,FLAG_PHONE,228.3011019229889,31,0.6639043005943865,4
25,FLAG_EMAIL,119.0131402015686,13,0.6639043005943865,4
26,OCCUPATION_TYPE,4278.843642711639,409,0.6639043005943865,4
27,CNT_FAM_MEMBERS,670.482883810997,72,0.6639043005943865,4
28,REGION_RATING_CLIENT,250.36483764648438,29,0.6639043005943865,4
29,REGION_RATING_CLIENT_W_CITY,245.0098204612732,28,0.6639043005943865,4
30,WEEKDAY_APPR_PROCESS_START,1788.413473367691,171,0.6639043005943865,4
31,HOUR_APPR_PROCESS_START,2963.8021884560585,300,0.6639043005943865,4
32,REG_REGION_NOT_LIVE_REGION,66.63252973556519,7,0.6639043005943865,4
33,REG_REGION_NOT_WORK_REGION,129.8260399401188,15,0.6639043005943865,4
34,LIVE_REGION_NOT_WORK_REGION,39.1161003112793,5,0.6639043005943865,4
35,REG_CITY_NOT_LIVE_CITY,120.17376947402954,12,0.6639043005943865,4
36,REG_CITY_NOT_WORK_CITY,119.35347902774811,14,0.6639043005943865,4
37,LIVE_CITY_NOT_WORK_CITY,337.28022238612175,40,0.6639043005943865,4
38,ORGANIZATION_TYPE,11032.625699043274,700,0.6639043005943865,4
39,EXT_SOURCE_1,6895.622815191746,660,0.6639043005943865,4
40,EXT_SOURCE_2,6861.537167608738,670,0.6639043005943865,4
41,EXT_SOURCE_3,8965.623434126377,875,0.6639043005943865,4
42,APARTMENTS_AVG,2633.647554785013,258,0.6639043005943865,4
43,BASEMENTAREA_AVG,3341.019243299961,308,0.6639043005943865,4
44,YEARS_BEGINEXPLUATATION_AVG,3484.0923633277416,321,0.6639043005943865,4
45,YEARS_BUILD_AVG,2307.3675284981728,239,0.6639043005943865,4
46,COMMONAREA_AVG,3167.44013774395,295,0.6639043005943865,4
